Id,Label,timeset,comment,indegree,outdegree,Degree
113.33.06.tar.gz,113.33.06.tar.gz,,Archive,1,4,5
115fe4b976858c487cf83065f513d8626089579a.patch,115fe4b976858c487cf83065f513d8626089579a.patch,,Patch,1,5,6
11_manpages_sb_macro,11_manpages_sb_macro,,None,1,4,5
12726cda009a855073b9bedbdce57b6ce7763da2.patch,12726cda009a855073b9bedbdce57b6ce7763da2.patch,,Patch,1,5,6
12many.tar.xz,12many.tar.xz,,Archive,1,4,5
14-Fix-unchecked-setuid-call.patch,14-Fix-unchecked-setuid-call.patch,,Patch,1,5,6
14-add-lockaftersleep-patch,14-add-lockaftersleep-patch,,Patch,1,4,5
14_manpage_spline,14_manpage_spline,,None,1,4,5
14e000f696ef8b83264b0ca4407669bdb365fb23.patch,14e000f696ef8b83264b0ca4407669bdb365fb23.patch,,Patch,1,5,6
15.04.6.tar.gz,15.04.6.tar.gz,,Archive,1,4,5
15.04.tar.gz,15.04.tar.gz,,Archive,1,4,5
161.patch,161.patch,,Patch,1,5,6
1633.patch,1633.patch,,Patch,1,5,6
17.patch,17.patch,,Patch,1,5,6
17_deprecated_const_return.patch,17_deprecated_const_return.patch,,Patch,1,4,5
18.patch,18.patch,,Patch,2,5,7
188772abcea038c31dae7d607e487eeed44391bc.patch,188772abcea038c31dae7d607e487eeed44391bc.patch,,Patch,1,5,6
1a5d4f08238dd532c3718e210078de1186a5920d.patch,1a5d4f08238dd532c3718e210078de1186a5920d.patch,,Patch,1,5,6
1a6b088a88886eac782008f37a7219a32b86da45.patch,1a6b088a88886eac782008f37a7219a32b86da45.patch,,Patch,1,5,6
1b328269ceee66916e9a639e8d5d7d13cd70d5d8.patch,1b328269ceee66916e9a639e8d5d7d13cd70d5d8.patch,,Patch,1,5,6
1e9109dde3bffd416ed351c3f30ecd6ffd0ca2cd.patch,1e9109dde3bffd416ed351c3f30ecd6ffd0ca2cd.patch,,Patch,1,5,6
1e961ed49b18e176c7457f53df2433421387c23b.patch,1e961ed49b18e176c7457f53df2433421387c23b.patch,,Patch,2,5,7
1ee719581c33d7d640ae9f656e4e9b192bafef78.patch,1ee719581c33d7d640ae9f656e4e9b192bafef78.patch,,Patch,1,5,6
1f1ed664d64603f3f1ce1388571227dc723901b2.patch,1f1ed664d64603f3f1ce1388571227dc723901b2.patch,,Patch,1,4,5
1fa778b01f0e6b70678b0e5755ca0ed7a093fa75.patch,1fa778b01f0e6b70678b0e5755ca0ed7a093fa75.patch,,Patch,1,5,6
2.0.0-rc2.tar.gz,2.0.0-rc2.tar.gz,,Archive,1,4,5
2.0.0.zip,2.0.0.zip,,Archive,3,4,7
2.0.2.tar.gz,2.0.2.tar.gz,,Archive,2,4,6
2.0.8.tar.gz,2.0.8.tar.gz,,Archive,2,4,6
2.0.tar.gz,2.0.tar.gz,,Archive,1,4,5
2.1.20130907.tar.gz,2.1.20130907.tar.gz,,Archive,1,4,5
2.12-1.2.1,2.12-1.2.1,,None,1,4,5
2.2.0.tar.gz,2.2.0.tar.gz,,Archive,1,4,5
2.4.tar.gz,2.4.tar.gz,,Archive,1,4,5
2.5.0.tar.bz2,2.5.0.tar.bz2,,Archive,1,4,5
2.5.1.tar.gz,2.5.1.tar.gz,,Archive,1,4,5
2.5.6.zip,2.5.6.zip,,Archive,2,4,6
2.6.1.tar.gz,2.6.1.tar.gz,,Archive,1,4,5
2.6.tar.gz,2.6.tar.gz,,Archive,2,4,6
2.8.0.tar.gz,2.8.0.tar.gz,,Archive,1,4,5
2.9.tar.gz,2.9.tar.gz,,Archive,1,4,5
2.diff,2.diff,,Diff,1,5,6
20-define-gnu-source.patch,20-define-gnu-source.patch,,Patch,1,5,6
2006_src.tar.gz,2006_src.tar.gz,,Archive,1,4,5
2015a09e332309f12de1dadfe179afa6a29368b8.patch,2015a09e332309f12de1dadfe179afa6a29368b8.patch,,Patch,2,5,7
2017-01-20-Release.tar.gz,2017-01-20-Release.tar.gz,,Archive,1,4,5
203c7d9c3e9cb0f88816b481ef8e7e87b3ecc373.patch,203c7d9c3e9cb0f88816b481ef8e7e87b3ecc373.patch,,Patch,2,5,7
2048-in-terminal-2017-11-29,2048-in-terminal-2017-11-29,,None,0,4,4
2048.tcl,2048.tcl,,None,1,4,5
20_svg_attribute_syntax,20_svg_attribute_syntax,,None,1,4,5
20kly-1.4,20kly-1.4,,None,0,8,8
219de01c61f3b1ec146abf142d0dfc8c560cc58e.patch,219de01c61f3b1ec146abf142d0dfc8c560cc58e.patch,,Patch,1,5,6
21_plot2svg_test.diff,21_plot2svg_test.diff,,Diff,1,4,5
22dd14945c25600de3cf8b91000c66703b551e4f.patch,22dd14945c25600de3cf8b91000c66703b551e4f.patch,,Patch,1,5,6
23fe9f36622573c747e2bab6119ff245437bf276.patch,23fe9f36622573c747e2bab6119ff245437bf276.patch,,Patch,2,5,7
249.patch,249.patch,,Patch,2,5,7
25_libpng15,25_libpng15,,None,1,4,5
26.diff,26.diff,,Diff,1,4,5
262cf9657f9c2727a816972b348692adcc666008.patch,262cf9657f9c2727a816972b348692adcc666008.patch,,Patch,1,5,6
28b8075400c70b2d2da2ce07e590c2ec6d11783d.patch,28b8075400c70b2d2da2ce07e590c2ec6d11783d.patch,,Patch,1,5,6
2ab73f10be7069c9412e853d2d0caf29bd624012.patch,2ab73f10be7069c9412e853d2d0caf29bd624012.patch,,Patch,2,5,7
2b0491e408be1ebcdbe8751bb2637c1acb78f71e.patch,2b0491e408be1ebcdbe8751bb2637c1acb78f71e.patch,,Patch,1,5,6
2b7df0b.patch,2b7df0b.patch,,Patch,2,5,7
2be9c29d45fb1fab8e9549342a30c160b7dea3e1.patch,2be9c29d45fb1fab8e9549342a30c160b7dea3e1.patch,,Patch,1,5,6
2bwm-0.2,2bwm-0.2,,None,0,9,9
2d4df577decba37ec3cdafc965deae0f6d31fe45.patch,2d4df577decba37ec3cdafc965deae0f6d31fe45.patch,,Patch,1,5,6
2f1a37f1011ff9d129bc35a6efa0ab937a2aa0e9.patch,2f1a37f1011ff9d129bc35a6efa0ab937a2aa0e9.patch,,Patch,1,5,6
2f429e232581c556df4f4bf210aee8a0c99c60b7.patch,2f429e232581c556df4f4bf210aee8a0c99c60b7.patch,,Patch,1,5,6
2fa-1.1.0,2fa-1.1.0,,None,0,7,7
2fc8ce5f0c8c81771c26266ac0b150ca9b75c5f3,2fc8ce5f0c8c81771c26266ac0b150ca9b75c5f3,,None,1,5,6
2gb_limit.patch,2gb_limit.patch,,Patch,1,4,5
2up.tar.xz,2up.tar.xz,,Archive,1,4,5
3.0.0.tar.gz,3.0.0.tar.gz,,Archive,1,4,5
